Project,Total Patients,Total Slides,Tissue Slides,Diagnostic Slides,Total Size (MB),File Formats
TCGA-BRCA,1098,3112,1979,1133,1563418.24,SVS
TCGA-LUAD,522,1608,1067,541,600081.92,SVS
TCGA-LUSC,504,1612,1100,512,578227.48,SVS
TCGA-OV,590,1481,1374,107,448225.13,SVS
TCGA-GBM,607,2053,1193,860,602619.31,SVS
TCGA-UCEC,560,1371,805,566,1013852.61,SVS
TCGA-COAD,460,1442,983,459,423913.07,SVS
TCGA-PRAD,500,1172,723,449,561244.51,SVS
TCGA-THCA,507,1158,639,519,701805.79,SVS
TCGA-HNSC,523,1263,791,472,523458.50,SVS
TCGA-LIHC,377,870,491,379,583631.77,SVS
